"","ModelNumber","modelName","variable","effect","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC"
"85",21,"MAP Max Tundra rate vs rate","(Intercept)","fixed",0.168753888901227,0.0407676448667189,0.290141703677364,3344.3365009366,0.0129411764705882
"86",21,"MAP Max Tundra rate vs rate","estimate","fixed",0.0429438249493218,-0.00931233701339806,0.0871709853527136,3713.82044931534,0.0805882352941176
"87",21,"MAP Max Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0504486414146064,0.00710465889598731,0.109093394959025,3400.00000000001,NA
"88",21,"MAP Max Tundra rate vs rate","units","residual",0.344316150486054,0.289300544314965,0.401407466203911,3400,NA
"89",22,"MAP Max Savanna rate vs rate","(Intercept)","fixed",0.335042865826998,0.15437282464336,0.498637844459154,3210.89264763836,0.00117647058823533
"90",22,"MAP Max Savanna rate vs rate","estimate","fixed",0.0159698318009402,0.00409648788809136,0.0291385331893252,3400,0.0141176470588236
"91",22,"MAP Max Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.149442353844333,0.0546817625699367,0.264334898804868,3153.95538099399,NA
"92",22,"MAP Max Savanna rate vs rate","units","residual",0.594014763816825,0.534108777310955,0.653488564707222,3400,NA
"93",23,"MAT & MAP change interaction Tundra","(Intercept)","fixed",0.472995427440213,0.280046053190517,0.65465037478134,3324,0.000300842358604091
"94",23,"MAT & MAP change interaction Tundra","estimate.x","fixed",-1.7398034870064,-3.21049285081972,-0.154282526636962,3578.00765547518,0.0276774969915764
"95",23,"MAT & MAP change interaction Tundra","estimate.y","fixed",0.0743716492033639,-0.0663588013267145,0.210122036849498,3324,0.306257521058965
"96",23,"MAT & MAP change interaction Tundra","estimate.x:estimate.y","fixed",-0.489287032655261,-2.82590116912615,1.78408379835309,3323.99999999999,0.69193742478941
"97",23,"MAT & MAP change interaction Tundra","(Intercept):(Intercept).geo.coords.x","random",0.165034634171607,0.0507694441369467,0.296799460844692,3324,NA
"98",23,"MAT & MAP change interaction Tundra","units","residual",0.23050179741505,0.191937449232066,0.266940829762685,3324.00000000001,NA
"99",24,"MAT & MAP change interaction Savanna","(Intercept)","fixed",0.530405929241286,0.373887335823383,0.674146710902278,3324,0.000300842358604091
"100",24,"MAT & MAP change interaction Savanna","estimate.x","fixed",1.6685532859602,-0.741640368578373,3.98122568347753,3324,0.163658243080626
"101",24,"MAT & MAP change interaction Savanna","estimate.y","fixed",0.016667824223856,-0.030793338206422,0.0692676257749554,3324,0.495788206979543
"102",24,"MAT & MAP change interaction Savanna","estimate.x:estimate.y","fixed",0.339556685732188,-0.756099734542659,1.48944994724297,3324,0.564380264741276
"103",24,"MAT & MAP change interaction Savanna","(Intercept):(Intercept).geo.coords.x","random",0.115944940635841,0.0451499177822631,0.201675353749869,3755.75175190373,NA
"104",24,"MAT & MAP change interaction Savanna","units","residual",0.444482166384743,0.399089423145057,0.488072479490318,3324,NA
"105",25,"Magnitude vs magnitude MAT Tundra","(Intercept)","fixed",0.931192366502778,-1.3446957799315,3.31521357831662,2856.19086490357,0.436470588235294
"106",25,"Magnitude vs magnitude MAT Tundra","climdif","fixed",0.83037216605921,-1.49679572930654,3.08058634083136,3400.00000000001,0.477058823529412
"107",25,"Magnitude vs magnitude MAT Tundra","(Intercept):(Intercept).Site.ID.x","random",1.98112823754527,8.38933099165403e-08,7.933174673853,2858.62050027351,NA
"108",25,"Magnitude vs magnitude MAT Tundra","climdif:(Intercept).Site.ID.x","random",-0.934541568446506,-6.84883754201234,3.04800537615469,3400,NA
"109",25,"Magnitude vs magnitude MAT Tundra","(Intercept):climdif.Site.ID.x","random",-0.934541568446506,-6.84883754201234,3.04800537615469,3399.99999999999,NA
"110",25,"Magnitude vs magnitude MAT Tundra","climdif:climdif.Site.ID.x","random",9.21049764777779,0.00017256015146753,20.9424244025714,2605.52875013239,NA
"111",25,"Magnitude vs magnitude MAT Tundra","units","residual",27.5717157706127,20.0614869127176,35.909312585765,3224.91905843061,NA
"112",26,"Magnitude vs magnitude MAT Savanna","(Intercept)","fixed",1.1696918929328,-0.202140352739661,2.57509997034504,3400,0.109411764705882
